as_is,to_be
청소년 관람불가,19
청소년 관람 불가,19
18+,19
연소자관람가,ALL
unknown,unknown
17th Jeonju International Film Festival,unknown
movie,unknown
15세 이상 관람가,15
청소년관람불가,19
Restricted Screening,unknown
Short Film,unknown
R,19
전체관람가 ,ALL
청소년 관람불가 ,19
Adult,19
전체관람가,ALL
ALL,ALL
U,ALL
12세관람가,12
12,12
15+,15
18,19
18,19
19,19
15세이상 관람가,15
12세 이상 관람가,12
G,ALL
PG,12
kr/12,12
15,15
15세이상관람가,15
PG-13,12
7,7
12세 관람가,12
naver,unknown
전체 관람가,ALL
NR,unknown
12세 관람가 ,12
15세 관람가,15
연소자 관람불가 ,19
미성년자관람가,19
All,ALL
19,19
38th Busan International Short Film Festival 2021,unknown
pg,12
P-13,12
12세이상관람가,12
19+,19
15세관람가,15
제한상영가,19
R18,19
